ani : ['áni', 'aní']
atsoy : ['atsóy', 'átsoy']
alingasaw : ['alingásaw', 'alingasáw']
abay-abay : ['abáy-abáy', 'ábay-ábay']
apil : ['ápil', 'apíl']
adyo : ['adyó', 'adyô']
atbang : ['atbáng', 'átbang']
abi : ['ábi', 'abí']
amahan : ['amáhan', 'amahán']
agar : ['ágar', 'agár']
ang-ang : ['áng-ang', 'ang-áng']
alindayag : ['alindáyag', 'alindayág']
angkab : ['ángkab', 'angkáb']
asta : ['astá', 'astâ', 'ásta']
alo : ['alò', 'aló', 'álo']
alang : ['aláng', 'álang']
ambak : ['ámbak', 'ambák']
amay : ['ámay', 'amáy']
aluyo : ['aluyô', 'alúyo']
aligaga : ['aligága', 'aligagâ']
asak : ['ásak', 'asák']
aldaw : ['aldáw', 'áldaw']
aliseksek : ['aliséksek', 'aliseksék']
anyo : ['anyô', 'ányo']
awas : ['awás', 'áwas']
angat : ['angát', 'ángat']
alakaak : ['alákaák', 'alakáak']
ablay : ['abláy', 'áblay']
ale : ['ále', 'ale']
agpang : ['agpáng', 'ágpang']
apla : ['ápla', 'aplâ']
awat : ['awát', 'áwat']
aliwa : ['aliwá', 'aliwà']
alang-alang : ['álang-álang', 'aláng-aláng']
alit : ['álit', 'alít']
aya : ['ayá', 'áya']
ayog : ['ayóg', 'áyog']
ari : ['arí', 'arì', 'ári']
agsa : ['agsâ', 'ágsa']
anga : ['angâ', 'angá', 'ánga']
ata : ['atâ', 'áta', 'atá']
alagad : ['alagád', 'alágad']
aba : ['abâ', 'abá']
amo : ['amô', 'amó', 'ámo', 'amò']
alog : ['álog', 'alóg']
abulog : ['abulóg', 'abúlog']
among : ['amóng', 'ámong']
aroga : ['arogâ', 'aróga']
ak-ak : ['ak-ák', 'ák-ak']
akat : ['ákat', 'akát']
aligutgot : ['aligútgot', 'aligutgót']
abil : ['abíl', 'ábil']
alapot : ['alapót', 'alápot']
abaga : ['abága', 'abagá']
abang : ['abáng', 'ábang']
ako : ['akó', 'akò']
aliw : ['alíw', 'áliw']
alga : ['algá', 'álga']
api : ['apí', 'apî', 'apì']
akos : ['akós', 'ákos']
ayas : ['ayás', 'áyas']
ambay : ['ámbay', 'ambáy']
araraw : ['aráraw', 'araráw']
alto : ['álto', 'altó']
alaat : ['aláat', 'alaát']
adhika : ['adhíka', 'adhikâ']
atop : ['átop', 'atóp']
atab : ['atáb', 'átab']
ayo : ['áyo', 'ayò', 'ayó']
abet : ['ábet', 'abët']
alap : ['aláp', 'álap']
abit : ['abít', 'ábit']
aki : ['akì', 'áki']
anas : ['ánas', 'anás']
ahang : ['aháng', 'áhang']
agom : ['agóm', 'ágom']
arayu : ['aráyu', 'arayû']
ahat : ['ahát', 'áhat']
aslom : ['aslóm', 'áslom']
amot : ['ámot', 'amót']
amping : ['ampíng', 'ámping']
alot : ['álot', 'alót']
angot : ['ángot', 'angót']
apaw : ['apáw', 'ápaw']
arog : ['árog', 'aróg']
apay : ['apáy', 'ápay']
ampiyas : ['ampiyás', 'ampíyas']
angga : ['anggâ', 'anggà']
ala-al : ['alâ-al', 'alâ-ál']
ambiyang : ['ambiyáng', 'ambíyang']
ampit : ['ámpit', 'ampít']
amin : ['ámin', 'amín']
amlong : ['amlóng', 'ámlong']
alangas : ['alángas', 'alangás']
adyong : ['ádyong', 'adyóng']
A : ['A', 'Å']
apodo : ['apódo', 'ápodó']
agal : ['ágal', 'agál']
adaptable : ['adaptable', 'adaptáble']
agamang : ['agamáng', 'agámang']
atikabo : ['atikábo', 'atikabó']
aklas : ['áklas', 'aklás']
awis : ['áwis', 'awís']
awit : ['áwit', 'awít']
arwa : ['arwá', 'arwâ']
abat : ['ábat', 'abát']
arat : ['árat', 'arát']
alakbat : ['alákbat', 'alakbát']
ayag : ['áyag', 'ayág']
amba : ['ambâ', 'ámba']
alta : ['álta', 'altá']
alabo : ['alábo', 'alabó']
alasan : ['alásan', 'alasán']
apak : ['apák', 'ápak']
arum : ['arúm', 'árum']
asam : ['ásam', 'asám']
agwas : ['ágwas', 'agwás']
abala : ['abalá', 'abála']
aping : ['apíng', 'áping']
anad : ['anád', 'ánad']
alabas : ['alabás', 'alábas']
ara : ['arà', 'ára']
apo : ['apò', 'ápo', 'apó', 'apô']
awak : ['awák', 'áwak']
ama : ['áma', 'amá']
asal : ['asál', 'ásal']
adto : ['ádto', 'adtó']
abukay : ['abukáy', 'abúkay']
amol : ['ámol', 'amól']
agaw : ['ágaw', 'agáw']
ami : ['ámi', 'amí']
akas : ['ákas', 'akás']
agnos : ['agnós', 'ágnos']
ampis : ['ámpis', 'ampís']
awa : ['áwa', 'awà']
angaw : ['ángaw', 'angáw']
atal : ['átal', 'atál']
