hamag : ['hámag', 'hamág']
hungot : ['hungót', 'húngot']
hingkod : ['híngkod', 'hingkód']
halin : ['hálin', 'halín']
hitad : ['hitád', 'hítad']
humol : ['humól', 'húmol']
hamangan : ['hamángan', 'hamangán']
halili : ['halilí', 'halíli']
hanag : ['hánag', 'hanág']
hupaw : ['hupáw', 'húpaw']
hukag : ['húkag', 'hukág']
hapay : ['hapáy', 'hápay']
hanip : ['haníp', 'hánip']
hitso : ['hitsó', 'hítso']
hakhak : ['hákhak', 'hakhák']
haras : ['harás', 'háras']
himay : ['himáy', 'hímay']
habay : ['habáy', 'hábay']
hugot : ['húgot', 'hugót']
himagal : ['himágal', 'himagál']
halusan : ['halúsan', 'halusán']
hawot : ['hawót', 'háwot']
hunos : ['húnos', 'hunós']
hima : ['himà', 'híma']
hamit : ['hámit', 'hamít']
hubas : ['húbas', 'hubás']
halughog : ['halúghog', 'halughóg']
himulos : ['himulós', 'himúlos']
hapo : ['hapò', 'hapô']
hiwa : ['hiwà', 'híwa', 'hiwâ']
haman : ['háman', 'hamán']
hipag : ['hipág', 'hípag']
haha : ['hahà', 'hahá']
hiras : ['hirás', 'híras']
huyo : ['húyo', 'huyò']
hagubhob : ['hagubhób', 'hagúbhob']
harapan : ['harapán', 'hárápan']
hilat : ['hílat', 'hilát']
hambal : ['hámbal', 'hambál']
himutad : ['himútad', 'himutád']
himpit : ['himpít', 'hímpit']
hawas : ['háwas', 'hawás']
halap : ['hálap', 'haláp']
hura : ['hurâ', 'hurá']
hiki : ['híki', 'hikí']
hibat : ['híbat', 'hibát']
hakat : ['hakát', 'hákat']
hagayhay : ['hagáyhay', 'hagayháy']
handalapak : ['handalapák', 'handalápak']
haya : ['hayà', 'háya']
hinaw : ['hináw', 'hínaw']
hawan : ['háwan', 'hawán']
hilamon : ['hilámon', 'hilamón']
hangar : ['hangár', 'hángar']
hinabang : ['hinábang', 'hinabáng']
hili : ['hilì', 'hilî', 'hilí']
haling : ['halíng', 'háling']
haso : ['hasò', 'hasô']
hayo : ['hayô', 'hayó', 'háyo', 'hayò']
hagpis : ['hágpis', 'hagpís']
hibok : ['hibók', 'híbok']
hamil : ['hamíl', 'hámil']
hilhil : ['hílhil', 'hilhíl']
haba : ['habâ', 'habà', 'hába']
hilad : ['hílad', 'hilád']
harap : ['hárap', 'haráp']
hanot : ['hanót', 'hánot']
haluthot : ['haluthót', 'halúthot']
huya : ['huyá', 'húya', 'huyâ']
hari : ['harì', 'hári']
husay : ['húsay', 'husáy']
hakot : ['hakót', 'hákot']
hilo : ['hilô', 'hílo', 'hiló']
halos : ['hálos', 'halós']
human : ['humán', 'human']
hibalo : ['hibaló', 'hibálo']
hiling : ['hilíng', 'híling']
