sapi : ['sapì', 'sápi']
sisip : ['sísip', 'sisíp']
sol : ['sól', 'sol']
sahing : ['sahíng', 'sáhing']
sumbag : ['sumbág', 'súmbag']
sikpaw : ['síkpaw', 'sikpáw']
suplit : ['suplít', 'súplit']
sala : ['sála', 'salá', 'salà', 'salâ']
sapula : ['sapúla', 'sapulà']
sakal : ['sakál', 'sákal']
saman : ['samán', 'sáman']
silsil : ['sílsil', 'silsíl']
supa : ['supá', 'súpa']
salapaw : ['salápaw', 'salapáw']
sisid : ['sísid', 'sisíd']
sanga : ['sangá', 'sánga', 'sangà']
sulinaw : ['sulináw', 'sulínaw']
saksa : ['saksâ', 'saksá']
simod : ['simód', 'símod']
sabod : ['sábod', 'sabód']
salalay : ['salálay', 'salaláy']
suba : ['subâ', 'súba', 'subá', 'subà']
siit : ['síit', 'siít']
sangod : ['sangód', 'sángod']
songar : ['sóngar', 'songár']
sipok : ['sípok', 'sipók']
sapaw : ['sapáw', 'sápaw']
sali : ['sáli', 'salì', 'salí']
sarap : ['sárap', 'saráp']
sulpak : ['súlpak', 'sulpák']
sage : ['sage', 'sagé']
salasa : ['salasà', 'salasá', 'salása']
salay : ['saláy', 'sálay']
sudsod : ['sudsód', 'súdsod']
saro : ['sarô', 'sáro']
sungad : ['sungád', 'súngad']
sukad : ['súkad', 'sukád']
silok : ['silók', 'sílok']
sapak : ['sapák', 'sápak']
suma : ['sumà', 'súma']
saing : ['sáing', 'saíng']
sabit : ['sábit', 'sabít']
supil : ['supíl', 'súpil']
samaya : ['samayâ', 'samáya']
sakit : ['sákit', 'sakít']
sungo : ['sungó', 'súngo']
sulo : ['suló', 'sulô']
sawit : ['sáwit', 'sawít']
sagpang : ['sagpáng', 'ságpang']
sine : ['síne', 'sine']
soot : ['soot', 'sóot']
samsam : ['samsám', 'sámsam']
sandali : ['sandalì', 'sandalî']
sablay : ['sabláy', 'sáblay']
sapyaw : ['sapyáw', 'sápyaw']
sakat : ['sakát', 'sákat']
salapsap : ['salápsap', 'salapsáp']
santa : ['santà', 'sánta']
siping : ['síping', 'sipíng']
sukat : ['sukát', 'súkat']
sapa : ['sápa', 'sapá', 'sapà']
sabong : ['sábong', 'sabóng']
saga : ['sagà', 'sága']
sakbat : ['sakbát', 'sákbat']
sidha : ['sidhá', 'sidhâ']
saysay : ['saysáy', 'sáysay']
sinip : ['sínip', 'siníp']
siklo : ['síklo', 'siklò']
salingsing : ['salingsíng', 'salíngsing']
sablot : ['sáblot', 'sablót']
sapad : ['sapád', 'sápad']
sagad : ['ságad', 'sagád']
silaw : ['sílaw', 'siláw']
sang-or : ['sang-ór', 'sáng-or']
salabat : ['salabát', 'salábat']
sana : ['saná', 'sanà', 'sána', 'sanâ']
siha : ['sihâ', 'sihà']
sablaw : ['sabláw', 'sáblaw']
saliw : ['salíw', 'sáliw']
sula : ['sulâ', 'sulá', 'sulà']
sayod : ['sáyod', 'sayód']
sira : ['sirà', 'sirâ', 'sirá']
suha : ['suhâ', 'suhà']
silag : ['silág', 'sílag']
sagam : ['ságam', 'sagám']
saksak : ['sáksak', 'saksák']
sabi-sabi : ['sábi-sábi', 'sabí-sabí']
suok : ['súok', 'suók']
sapal : ['sápal', 'sapál']
sumo : ['súmo', 'sumó']
salaway : ['saláway', 'salawáy']
suko : ['sukò', 'sukó']
salampay : ['salámpay', 'salampáy']
sangkaka : ['sangkáka', 'sangkakà']
sukol : ['súkol', 'sukól']
sabangan : ['sabángan', 'sabangán']
silang : ['sílang', 'siláng']
siya : ['siyá', 'síya']
subol : ['suból', 'súbol']
saong : ['sáong', 'saóng']
siblok : ['siblók', 'síblok']
salin : ['sálin', 'salín']
sulat : ['súlat', 'sulát']
sakay : ['sákay', 'sakáy']
salipod : ['salipód', 'salípod']
sanla : ['sanlá', 'sanlâ']
saoy : ['saóy', 'sáoy']
salak : ['salák', 'sálak']
sasak : ['sásak', 'sasák']
sabo : ['sabó', 'sábo']
sukob : ['sukób', 'súkob']
singi : ['singî', 'singí']
subasob : ['subasób', 'subásob']
